"","x"
"1","Ale"
"2","Alingsås"
"3","Alvesta"
"4","Aneby"
"5","Arboga"
"6","Arjeplog"
"7","Arvidsjaur"
"8","Arvika"
"9","Askersund"
"10","Avesta"
"11","Bengtsfors"
"12","Berg"
"13","Bjurholm"
"14","Bjuv"
"15","Boden"
"16","Bollebygd"
"17","Bollnäs"
"18","Borgholm"
"19","Borlänge"
"20","Borås"
"21","Botkyrka"
"22","Boxholm"
"23","Bromölla"
"24","Bräcke"
"25","Burlöv"
"26","Båstad"
"27","Dals-Ed"
"28","Danderyd"
"29","Degerfors"
"30","Dorotea"
"31","Eda"
"32","Ekerö"
"33","Eksjö"
"34","Emmaboda"
"35","Enköping"
"36","Eskilstuna"
"37","Eslöv"
"38","Essunga"
"39","Fagersta"
"40","Falkenberg"
"41","Falköping"
"42","Falun"
"43","Filipstad"
"44","Finspång"
"45","Flen"
"46","Forshaga"
"47","Färgelanda"
"48","Gagnef"
"49","Gislaved"
"50","Gnesta"
"51","Gnosjö"
"52","Gotland"
"53","Grums"
"54","Grästorp"
"55","Gullspång"
"56","Gällivare"
"57","Gävle"
"58","Göteborg"
"59","Götene"
"60","Habo"
"61","Hagfors"
"62","Hallsberg"
"63","Hallstahammar"
"64","Halmstad"
"65","Hammarö"
"66","Haninge"
"67","Haparanda"
"68","Heby"
"69","Hedemora"
"70","Helsingborg"
"71","Herrljunga"
"72","Hjo"
"73","Hofors"
"74","Huddinge"
"75","Hudiksvall"
"76","Hultsfred"
"77","Hylte"
"78","Håbo"
"79","Hällefors"
"80","Härjedalen"
"81","Härnösand"
"82","Härryda"
"83","Hässleholm"
"84","Höganäs"
"85","Högsby"
"86","Hörby"
"87","Höör"
"88","Jokkmokk"
"89","Jämtlands läns landsting"
"90","Järfälla"
"91","Jönköping"
"92","Kalix"
"93","Kalmar"
"94","Karlsborg"
"95","Karlshamn"
"96","Karlskoga"
"97","Karlskrona"
"98","Karlstad"
"99","Katrineholm"
"100","Kil"
"101","Kinda"
"102","Kiruna"
"103","Klippan"
"104","Knivsta"
"105","Kramfors"
"106","Kristianstad"
"107","Kristinehamn"
"108","Krokom"
"109","Kumla"
"110","Kungsbacka"
"111","Kungsör"
"112","Kungälv"
"113","Kävlinge"
"114","Köping"
"115","Laholm"
"116","Landskrona"
"117","Landstinget Blekinge"
"118","Landstinget Dalarna"
"119","Landstinget Gävleborg"
"120","Landstinget i Jönköpings län"
"121","Landstinget i Kalmar län"
"122","Landstinget i Uppsala län"
"123","Landstinget i Värmland"
"124","Landstinget i Östergötland"
"125","Landstinget Kronoberg"
"126","Landstinget Sörmland"
"127","Landstinget Västernorrland"
"128","Landstinget Västmanland"
"129","Laxå"
"130","Lekeberg"
"131","Leksand"
"132","Lerum"
"133","Lessebo"
"134","Lidingö"
"135","Lidköping"
"136","Lilla Edet"
"137","Lindesberg"
"138","Linköping"
"139","Ljungby"
"140","Ljusdal"
"141","Ljusnarsberg"
"142","Lomma"
"143","Ludvika"
"144","Luleå"
"145","Lund"
"146","Lycksele"
"147","Lysekil"
"148","Malmö"
"149","Malung-Sälen"
"150","Malå"
"151","Mariestad"
"152","Mark"
"153","Markaryd"
"154","Mellerud"
"155","Mjölby"
"156","Mora"
"157","Motala"
"158","Mullsjö"
"159","Munkedal"
"160","Munkfors"
"161","Mölndal"
"162","Mönsterås"
"163","Mörbylånga"
"164","Nacka"
"165","Nora"
"166","Norberg"
"167","Nordanstig"
"168","Nordmaling"
"169","Norrbottens läns landsting"
"170","Norrköping"
"171","Norrtälje"
"172","Norsjö"
"173","Nybro"
"174","Nykvarn"
"175","Nyköping"
"176","Nynäshamn"
"177","Nässjö"
"178","Ockelbo"
"179","Olofström"
"180","Orsa"
"181","Orust"
"182","Osby"
"183","Oskarshamn"
"184","Ovanåker"
"185","Oxelösund"
"186","Pajala"
"187","Partille"
"188","Perstorp"
"189","Piteå"
"190","Ragunda"
"191","Region Gotland"
"192","Region Halland"
"193","Region Skåne"
"194","Riket"
"195","Robertsfors"
"196","Ronneby"
"197","Rättvik"
"198","Sala"
"199","Salem"
"200","Sandviken"
"201","Sigtuna"
"202","Simrishamn"
"203","Sjöbo"
"204","Skara"
"205","Skellefteå"
"206","Skinnskatteberg"
"207","Skurup"
"208","Skövde"
"209","Smedjebacken"
"210","Sollefteå"
"211","Sollentuna"
"212","Solna"
"213","Sorsele"
"214","Sotenäs"
"215","Staffanstorp"
"216","Stenungsund"
"217","Stockholm"
"218","Stockholms läns landsting"
"219","Storfors"
"220","Storuman"
"221","Strängnäs"
"222","Strömstad"
"223","Strömsund"
"224","Sundbyberg"
"225","Sundsvall"
"226","Sunne"
"227","Surahammar"
"228","Svalöv"
"229","Svedala"
"230","Svenljunga"
"231","Säffle"
"232","Säter"
"233","Sävsjö"
"234","Söderhamn"
"235","Söderköping"
"236","Södertälje"
"237","Sölvesborg"
"238","Tanum"
"239","Tibro"
"240","Tidaholm"
"241","Tierp"
"242","Timrå"
"243","Tingsryd"
"244","Tjörn"
"245","Tomelilla"
"246","Torsby"
"247","Torsås"
"248","Tranemo"
"249","Tranås"
"250","Trelleborg"
"251","Trollhättan"
"252","Trosa"
"253","Tyresö"
"254","Täby"
"255","Töreboda"
"256","Uddevalla"
"257","Ulricehamn"
"258","Umeå"
"259","Upplands Väsby"
"260","Upplands-Bro"
"261","Uppsala"
"262","Uppvidinge"
"263","Vadstena"
"264","Vaggeryd"
"265","Valdemarsvik"
"266","Vallentuna"
"267","Vansbro"
"268","Vara"
"269","Varberg"
"270","Vaxholm"
"271","Vellinge"
"272","Vetlanda"
"273","Vilhelmina"
"274","Vimmerby"
"275","Vindeln"
"276","Vingåker"
"277","Vårgårda"
"278","Vänersborg"
"279","Vännäs"
"280","Värmdö"
"281","Värnamo"
"282","Västerbottens läns landsting"
"283","Västervik"
"284","Västerås"
"285","Västra Götalandsregionen"
"286","Växjö"
"287","Ydre"
"288","Ystad"
"289","Åmål"
"290","Ånge"
"291","Åre"
"292","Årjäng"
"293","Åsele"
"294","Åstorp"
"295","Åtvidaberg"
"296","Älmhult"
"297","Älvdalen"
"298","Älvkarleby"
"299","Älvsbyn"
"300","Ängelholm"
"301","Öckerö"
"302","Ödeshög"
"303","Örebro"
"304","Örebro läns landsting"
"305","Örkelljunga"
"306","Örnsköldsvik"
"307","Östersund"
"308","Österåker"
"309","Östhammar"
"310","Östra Göinge"
"311","Överkalix"
"312","Övertorneå"
